AirQuality,WaterPollution
74.12935674666666,44.28806391
68.55478656523334,52.71231442933333
61.70064996933333,47.736034798333336
66.69935479933334,42.78769841266667
60.47154084633333,44.46460202433334
68.10628627766667,47.678613053333336
74.31638127700002,41.350086958
61.744095603000005,49.494161276
59.604106618433335,41.58651361766666
63.345545223,47.87829456
63.0634206858,41.67775742799999
58.832202774,48.66999884216667
52.54241925033333,40.641130604
73.16436378933334,39.801587301766666
49.44461719900001,44.624726881066664
63.15236244033334,50.388634354333334
68.35890480300002,51.752829753
68.44673172700001,41.77793052733333
69.204562059,48.859232070333334
56.63840325966667,46.92308418666667
60.53997907,42.573539886
62.408544322,43.751228355433334
63.854142237333335,48.042809827
66.59205609166666,42.011904762
55.958333333333336,41.486054652
66.791352678,45.613911916666666
63.614435685,43.18506335233334
52.025959735,36.056746980966665
46.55492424233333,46.695453531666665
69.35784173666666,49.02250024566667
66.69457972633333,41.10317460276667
60.314717689000005,47.807787698666665
52.18233958966666,44.147420635
61.5544639689,42.8681978701
60.022581284666664,47.05940095973334
58.609436237000004,52.385676433
60.63452330766667,36.429341672999996
57.342701127666665,39.970403439
62.05095963433333,49.117934016333336
64.62853812833333,46.23159291533333
61.25119765066666,48.83215931233334
61.77961028266667,36.824515392
65.36632458133333,45.58168220666666
52.563091439,45.54990186066666
60.256809132666675,47.122510520666665
55.18529135499999,39.3760907281
57.026896576666665,46.92995134043334
59.26355101199999,51.740058833666666
67.16394335526667,36.02536937076666
60.71062978733334,40.677785065
